

Filial	 	
062 - PR LONDRINA CT
 	Grupo	 	

TODOS
Data Movimento	 	
26/08/2022
  e  
26/08/2022
 	 Departamento	 	

TODOS
Layout para impressão.
 
 
  Resultado da Pesquisa : ( 84 Regs. )  


Grupo	Departamento	Outras Vendas	Cartão Riachuelo	Devoluções	Vendas Líquidas	%Vendas Depto s/ grupo	Venda Física	Total Desc	Cota	%Venda s/ Cota	Venda Líquida Acumulada	Cota Acumulada	%Venda Acum. / Cota
3	314-Masc. Basicos	988,00	1.131,51	179,70	1.939,81	17,50	44	136,09	 	 	-3.445,85	 	 
3	315-Masc. Jovem Casual	399,10	71,76	49,90	420,96	3,80	12	37,94	 	 	-1.346,26	 	 
3	320-Masc Adulto Urbano	469,40	275,78	49,90	695,28	6,27	9	13,92	 	 	-1.147,43	 	 
3	325-Masc. Adulto Office	379,70	359,70	139,90	599,50	5,41	6	0,00	 	 	-3.467,20	 	 
3	330-Masc. Underwear e Pijamas	583,58	582,68	69,90	1.096,36	9,89	32	105,54	 	 	-155,66	 	 
3	331-Masc. Praia	79,80	85,32	0,00	165,12	1,49	4	4,48	 	 	165,12	 	 
3	340-Masc. Plus Size	99,90	0,00	0,00	99,90	0,90	1	0,00	 	 	-418,52	 	 
3	350-Masc. Jeanseria	359,70	341,73	0,00	701,43	6,33	6	37,97	 	 	-1.936,57	 	 
3	360-Masc Jeans Jovem Urbano	119,90	137,82	0,00	257,72	2,33	2	22,08	 	 	-961,28	 	 
3	365-Masc Jeans Jovem Casual	222,30	99,90	0,00	322,20	2,91	3	17,50	 	 	-706,80	 	 
3	370-Masc Jeans Adulto Urbano	699,50	90,83	139,90	650,43	5,87	7	18,97	 	 	-158,87	 	 
3	375-Masc. Meias e Pantufas	258,71	42,22	0,00	300,93	2,71	10	12,07	 	 	35,63	 	 
3	380-Masc Jeans Adulto Casual	469,70	891,42	139,90	1.221,22	11,02	9	27,98	 	 	-5.215,59	 	 
3	390-Masc. Adulto Casual	509,40	402,35	59,80	851,95	7,69	13	66,95	 	 	-4.098,18	 	 
TOTAL GRUPO		6.686,16	5.525,04	1.126,50	11.084,70	19,89	197	778,10	0,00	0,00	-25.396,98	0,00	0,00
4	400-Cama	349,70	1.232,83	0,00	1.582,53	0,00	15	21,97	 	 	653,63	 	 
4	405-Banho	119,80	260,19	0,00	379,99	0,00	12	38,81	 	 	-269,51	 	 
4	410-Mesa e Servir	129,80	0,00	0,00	129,80	0,00	2	0,00	 	 	4,20	 	 
4	425-Moda Casa Infantil	0,00	115,82	0,00	115,82	0,00	2	13,98	 	 	-84,08	 	 
4	430-Decor Ambiente	69,90	47,92	0,00	117,82	0,00	2	41,98	 	 	117,82	 	 
TOTAL GRUPO		669,20	1.656,76	0,00	2.325,96	4,17	33	116,74	0,00	0,00	422,06	0,00	0,00
5	500-Caltados Femininos	652,46	563,46	73,06	1.142,86	54,58	13	52,78	 	 	443,56	 	 
5	505-Caltados Masculinos	118,93	0,00	0,00	118,93	5,68	2	10,87	 	 	-868,18	 	 
5	510-Caltados Infanto-Juvenis	109,80	149,80	0,00	259,60	12,40	4	0,00	 	 	-279,40	 	 
5	515-Chinelos	29,90	0,00	0,00	29,90	1,43	1	0,00	 	 	-197,50	 	 
5	520-Bolsas e Acess Fem	565,50	93,24	139,90	518,84	24,78	6	6,66	 	 	-30,66	 	 
5	540-Masc Acess=rios	73,56	0,00	49,90	23,66	1,13	2	6,24	 	 	-275,64	 	 
TOTAL GRUPO		1.550,15	806,50	262,86	2.093,79	3,76	28	76,55	0,00	0,00	-1.207,82	0,00	0,00
6	530-Eletr. Celulares Tablets	989,11	5.696,00	0,00	6.685,11	0,00	5	9,89	 	 	5.536,11	 	 
TOTAL GRUPO		989,11	5.696,00	0,00	6.685,11	11,99	5	9,89	0,00	0,00	5.536,11	0,00	0,00
7	280-Fragrancias	1.055,48	627,85	0,00	1.683,33	0,00	14	333,27	 	 	563,68	 	 
7	281-Maquiagem	1.181,46	934,72	0,00	2.116,18	0,00	57	590,12	 	 	2.116,18	 	 
7	282-Tratamento	247,08	287,05	0,00	534,13	0,00	22	112,29	 	 	534,13	 	 
7	283-Solares	44,72	237,79	0,00	282,51	0,00	6	59,89	 	 	216,61	 	 
7	284-Capilar	130,88	217,15	0,00	348,03	0,00	9	91,07	 	 	348,03	 	 
7	285-Marca Propria	36,64	140,31	0,00	176,95	0,00	8	34,25	 	 	151,05	 	 
7	289-Outros	12,72	28,72	0,00	41,44	0,00	2	10,36	 	 	41,44	 	 
TOTAL GRUPO		2.708,98	2.473,59	0,00	5.182,57	9,30	118	1.231,25	0,00	0,00	3.971,12	0,00	0,00
TOTAL FILIAL		28.609,99	31.190,76	4.066,19	55.734,56	100,00	877	3.705,96	0,00	0,00	-45.908,89	0,00	0,00
 	 	 	 	 	 	 	 	 	 	 	 	 	 
